"Latest: Time (s)","Latest: Temperature (°C)"
0,2.27426757394
0.5,2.27426757394
1,2.27237703793
1.5,2.2780484031
2,2.28371903983
2.5,2.2874990598
3,2.2874990598
3.5,2.28938894847
4,2.29694769471
4.5,2.30261590588
5,2.30639430947
5.5,2.31206130935
6,2.31583890574
6.5,2.32150469532
7,2.32528148517
7.5,2.33660992059
8,2.35548420538
8.5,2.36680491636
9,2.38000875821
9.5,2.38378056222
10,2.39320866896
10.5,2.40451975275
11,2.40828947342
11.5,2.4177123748
12,2.42524925645
12.5,2.43655218181
13,2.45538400536
13.5,2.46479692741
14,2.47420785846
14.5,2.48737982017
15,2.49866697303
15.5,2.50242872193
16,2.52123270567
16.5,2.52875207942
17,2.5400287643
17.5,2.54378702615
18,2.55881691072
18.5,2.56820802087
19,2.57571948819
19.5,2.5888615197
20,2.60762915452
20.5,2.61888595891
21,2.62076181786
21.5,2.63389063125
22,2.64889028079
22.5,2.65826251401
23,2.67325401541
23.5,2.68824051112
24,2.70509434351
24.5,2.71819851143
25,2.72942761672
25.5,2.73691213006
26,2.74065391998
26.5,2.75187742394
27,2.75935820609
27.5,2.76683774613
28,2.77805472897
28.5,2.79674350118
29,2.82289478505
29.5,2.84343160484
30,2.85649563379
30.5,2.86582477336
31,2.8788823385
31.5,2.88261237973
32,2.88634211372
32.5,2.89193613888
33,2.89380066042
33.5,2.90312211741
34,2.9143053358
34.5,2.93107499397
35,2.94970068181
35.5,2.96645727161
36,2.97762489964
36.5,2.98692916136
37,2.99251080491
37.5,2.99995193127
38,3.00739184116
38.5,3.01854942683
39,3.02970427986
39.5,3.03528068246
40,3.04643144147
40.5,3.05757947445
41,3.07615347869
41.5,3.08358096491
42,3.0947199301
42.5,3.09843231511
43,3.11327884083
43.5,3.1244105728
44,3.13553959711
44.5,3.15037408879
45,3.16891045022
45.5,3.1818814446
46,3.18929179467
46.5,3.20410890566
47,3.21151566812
47.5,3.22632561077
48,3.23372879251
48.5,3.24668149267
49,3.26332960675
49.5,3.27257595757
50,3.296607786
50.5,3.31693262825
51,3.33355538699
51.5,3.34648006278
52,3.36124669449
52.5,3.3667829653
53,3.3778535188
53.5,3.38892142357
54,3.40736205239
54.5,3.43869428532
55,3.76550184263
55.5,3.94446339792
56,3.89704978887
56.5,3.81121979156
57,3.74354144558
57.5,3.69592535015
58,3.68126451977
58.5,3.66293203167
59,3.64642665597
59.5,3.62624551159
60,3.6170693849
60.5,3.61523394342
61,3.60789145667
61.5,3.61523394342
62,3.61890475431
62.5,3.62257527701
63,3.63725448761
63.5,3.65009502009
64,3.65743088616
64.5,3.66843253122
65,3.6757655263
65.5,3.6849301571
66,3.68859550788
66.5,3.70142198034
67,3.70874981916
67.5,3.7215707852
68,3.73621903346
68.5,3.74354144558
69,3.75635292322
69.5,3.76916091236
70,3.78745199593
70.5,3.79659487446
71,3.80573597936
71.5,3.81304758723
72,3.8276674032
72.5,3.83132164943
73,3.84045602743
73.5,3.85506735773
74,3.87332516865
74.5,3.88062631916
75,3.89340062151
75.5,3.90252301248
76,3.91529140781
76.5,3.91711518334
77,3.9335260052
77.5,3.96450873782
78,3.98454561797
78.5,4.00639440171
79,4.02277440555
79.5,4.03005259819
80,4.03369127736
80.5,4.03369127736
81,4.03369127736
81.5,4.03914877493
82,4.05188050527
82.5,4.0609725166
83,4.06460883575
83.5,4.07551613014
84,4.08642093181
84.5,4.09732324313
85,4.10822306646
85.5,4.11912040417
86,4.12638391624
86.5,4.14635288932
87,4.15361226883
87.5,4.16449927514
88,4.175383808
88.5,4.18626586974
89,4.19895848836
89.5,4.21889725173
90,4.23882774088
90.5,4.26056067284
91,4.26599237209
91.5,4.28047390775
92,4.29314168044
92.5,4.29676043244
93,4.31485011902
93.5,4.3257006753
94,4.34016429022
94.5,4.34739447344
95,4.3564306811
95.5,4.36365843098
96,4.36907853435
96.5,4.37811069028
97,4.37991691911
97.5,4.38352917449
98,4.39616994559
98.5,4.40519704761
99,4.41602734995
99.5,4.42685523253
100,4.43768069764
100.5,4.44489633247
101,4.45211089455
101.5,4.4665368032
102,4.48276083134
102.5,4.49357384251
103,4.49717764536
103.5,4.50078118124
104,4.51339145572
104.5,4.52239679504
105,4.53860221127
105.5,4.55120269952
106,4.5727959659
106.5,4.58358901769
107,4.59258140587
107.5,4.59617789776
108,4.60696578578
108.5,4.61056121951
109,4.61415638892
109.5,4.62494031198
110,4.63931518047
110.5,4.6536858303
111,4.66086957486
111.5,4.67164321814
112,4.68779924694
112.5,4.70574415479
113,4.72368250916
113.5,4.732649232
114,4.748785215
114.5,4.75416270043
115,4.76312387114
115.5,4.78104132335
116,4.79716146362
116.5,4.81148605611
117,4.82222677308
117.5,4.83117558654
118,4.8383334705
118.5,4.84549031801
119,4.85443492086
119.5,4.85980090624
120,4.86695464826
120.5,4.875895372
121,4.88125903137
121.5,4.89019717307
122,4.90449484711
122.5,4.90985541192
123,4.93307783471
123.5,4.94736315859
124,4.9545042803
124.5,4.95807445638
125,4.96878344648
125.5,4.98662664097
126,5.00268004866
126.5,5.0187282843
127,5.03298904655
127.5,5.04189995294
128,5.05615409476
128.5,5.0686231321
129,5.07930840238
129.5,5.09177166536
130,5.09889213588
130.5,5.1131300384
131,5.12202667195
131.5,5.1362580004
132,5.15404148178
132.5,5.16648616905
133,5.17359603399
133.5,5.18603587628
134,5.19491959272
134.5,5.20557798067
135,5.21090632771
135.5,5.21623411049
136,5.22866341075
136.5,5.2375396042
137,5.24641423391
137.5,5.26061039188
138,5.27302875272
138.5,5.28544405815
139,5.29076396883
139.5,5.30317491518
140,5.31203801095
140.5,5.32267167531
141,5.33861798184
141.5,5.35101719252
142,5.37226592415
142.5,5.3935057546
143,5.40412233709
143.5,5.40766070468
144,5.41827432887
144.5,5.42888573675
145,5.44833423516
145.5,5.46600824077
146,5.49250775729
146.5,5.50840085952
147,5.52075874054
147.5,5.52958396789
148,5.54899410491
148.5,5.5719238646
149,5.60189345023
149.5,5.63360687195
150,5.65825933246
150.5,5.67586099813
151,5.70928759015
151.5,5.73214593113
152,5.74620757084
152.5,5.74972238248
153,5.75675128831
153.5,5.76553607618
154,5.77607585132
154.5,5.78310117489
155,5.78134493344
155.5,5.77256283165
156,5.75850836536
156.5,5.7514796986
157,5.74620757084
157.5,5.74093490479
158,5.73566170018
158.5,5.72862992254
159,5.72687182839
159.5,5.7339038456
160,5.73741949491
160.5,5.74269251997
161,5.74093490479
161.5,5.74093490479
162,5.74620757084
162.5,5.7514796986
163,5.7514796986
163.5,5.76202234022
164,5.76553607618
164.5,5.77607585132
165,5.78485735671
165.5,5.79539319625
166,5.80241589811
166.5,5.81996848801
167,5.835760738
167.5,5.84804027572
168,5.84979425821
168.5,5.85505585014
169,5.85856328189
169.5,5.86733082504
170,5.88486147439
170.5,5.89362458286
171,5.90764248695
171.5,5.91990505723
172,5.937418009
172.5,5.94617227896
173,5.96017605564
173.5,5.97067642286
174,5.98467362916
174.5,5.99691810988
175,6.00216486678
175.5,6.02139847479
176,6.04411999697
176.5,6.07207143377
177,6.08604157099
177.5,6.09651673591
178,6.10873512336
178.5,6.11222556974
179,6.11746080503
179.5,6.12269551941
180,6.1383965394
180.5,6.14886128588
181,6.15583662902
181.5,6.1662979134
182,6.17675712309
182.5,6.18721426
183,6.19418453401
183.5,6.20638030059
184,6.21857325329
184.5,6.23076339515
185,6.2394689201
185.5,6.24991366063
186,6.26209658856
186.5,6.27079696546
187,6.28123553358
187.5,6.29341126759
188,6.30036757602
188.5,6.30384538851
189,6.31080033037
189.5,6.31949272758
190,6.32992172819
190.5,6.34034868398
191,6.35251088386
191.5,6.3646703061
192,6.38377236485
192.5,6.39592465834
193,6.40113193693
193.5,6.40980960583
194,6.41501553032
194.5,6.41848586477
195,6.42889551586
195.5,6.43930314004
196,6.45491077993
196.5,6.46878041763
197,6.48091340501
197.5,6.49477631386
198,6.51556396156
198.5,6.52249138885
199,6.53288085486
199.5,6.54846128895
200,6.55884573777
200.5,6.58133850577
201,6.60036351521
201.5,6.61073796436
202,6.6211104191
202.5,6.62629589915
203,6.63666536574
203.5,6.64703284254
204,6.65739833137
204.5,6.66258033087
205,6.67121589393
205.5,6.67985007943
206,6.68157675131
206.5,6.68848288843
207,6.68848288843
207.5,6.69538814526
208,6.70401847922
208.5,6.71609863947
209,6.72990124412
209.5,6.74025089514
210,6.74542498122
210.5,6.74714956709
211,6.7592201362
211.5,6.77128802639
212,6.7799063094
212.5,6.78852322813
213,6.80919827313
213.5,6.82125509562
214,6.83158739436
214.5,6.84019614943
215,6.84880354756
215.5,6.85740958977
216,6.8625725647
216.5,6.87117643962
217,6.88149930339
217.5,6.91761400715
218,7.02924729068
218.5,7.15435134519
219,7.20055129486
219.5,7.20739246955
220,7.18344467808
220.5,7.1440794707
221,7.10811292332
221.5,7.08412224642
222,7.07383734263
222.5,7.072123006
223,7.06183586949
223.5,7.06012116054
224,7.05669158297
224.5,7.06012116054
225,7.06355052523
225.5,7.06869417324
226,7.07040861621
226.5,7.07383734263
227,7.07898003362
227.5,7.08755012274
228,7.10125950504
228.5,7.1046863202
229,7.11325243057
229.5,7.12353001515
230,7.13209321359
230.5,7.14236730679
231,7.15948656988
231.5,7.17660055801
232,7.18344467808
232.5,7.18515557649
233,7.19541986203
233.5,7.20568225469
234,7.21594275621
234.5,7.22962048616
235,7.24158574773
235.5,7.2552571908
236,7.26550857635
236.5,7.27746614889
237,7.28600570615
237.5,7.29112881459
238,7.29625145386
238.5,7.30649532576
239,7.32015090665
239.5,7.33209681009
240,7.33550945779
240.5,7.34915797233
241,7.35768660824
241.5,7.37644504854
242,7.39178820698
242.5,7.40201465418
243,7.41053527409
243.5,7.42246197609
244,7.4292761008
244.5,7.43608940173
245,7.44290187937
245.5,7.45822694655
246,7.46844134678
246.5,7.48546124357
247,7.49907347228
247.5,7.5092804947
248,7.51098148615
248.5,7.51778494093
249,7.53479000351
249.5,7.54159060012
250,7.55858852492
250.5,7.56538626948
251,7.57218320028
251.5,7.58577462264
252,7.60615566552
252.5,7.61464561237
253,7.62143665839
253.5,7.62822689477
254,7.64350196893
254.5,7.65368307876
255,7.66216594935
255.5,7.67743194079
256,7.69947561908
256.5,7.70625658012
257,7.71642651534
257.5,7.7249000816
258,7.73337239456
258.5,7.74692549081
259,7.7503132644
259.5,7.75708821143
260,7.76894244455
260.5,7.78248714372
261,7.78925829614
261.5,7.80618268938
262,7.81464301934
262.5,7.82986848111
263,7.83494274091
263.5,7.84339884797
264,7.85185371509
264.5,7.86199792026
265,7.8670693543
265.5,7.87721088632
266,7.89917810131
266.5,7.91269224121
267,7.92282577586
267.5,7.93633439814
268,7.94308752868
268.5,7.94477568841
269,7.95659143096
269.5,7.96840476804
270,7.98021570223
270.5,7.9937109737
271,8.00045743497
271.5,8.01394801096
272,8.03249245034
272.5,8.04091979019
273,8.05103099044
273.5,8.0560859334
274,8.07293258212
274.5,8.08472234556
275,8.09650973134
275.5,8.11502796846
276,8.12680925199
276.5,8.13858816695
277,8.15372900994
277.5,8.15877508938
278,8.16382073504
278.5,8.18063642363
279,8.18568019189
279.5,8.19744730204
280,8.20585093973
280.5,8.21257298599
281,8.22097446473
281.5,8.23777382872
282,8.25288916474
282.5,8.26464286091
283,8.27471559587
283.5,8.28982147965
284,8.29485591672
284.5,8.30492350576
285,8.32505354895
285.5,8.34517675609
286,8.35691214164
286.5,8.3686452078
287,8.38037595704
287.5,8.39377969375
288,8.40048042966
288.5,8.4138796389
289,8.42560147469
289.5,8.44569068931
290,8.46242653624
290.5,8.47915769513
291,8.48584884765
291.5,8.50090120488
292,8.5092619902
292.5,8.52263681972
293,8.53266598352
293.5,8.54603559371
294,8.55439008786
294.5,8.56274341984
295,8.57276588539
295.5,8.58445665036
296,8.58612657415
296.5,8.59781474322
297,8.61116987272
297.5,8.61617728303
