"Latest: Time (s)","Latest: Temperature (°C)"
0,2.44031918478
0.5,2.44973529578
1,2.44973529578
1.5,2.47420785846
2,2.56820802087
2.5,2.77992395476
3,3.01483053536
3.5,3.32986195792
4,3.6849301571
4.5,4.07733377013
5,4.4088074174
5.5,4.72188896834
6,4.75595506505
6.5,4.5727959659
7,4.44850374756
7.5,4.42144159357
8,4.64470466825
8.5,5.03833578136
9,5.3421609233
9.5,5.64065163912
10,5.937418009
10.5,6.30732297326
11,6.63320909806
11.5,6.81092083956
12,6.95198686131
12.5,7.04125584769
13,7.1338056946
13.5,7.30308091011
14,7.64689587414
14.5,7.72998361971
15,7.8095669706
15.5,7.93633439814
16,8.13690560973
16.5,8.33008499112
17,8.56942524925
17.5,8.81946163964
18,9.09994750357
18.5,9.2768783558
19,9.47306748245
19.5,9.65716349083
20,9.87018674751
20.5,10.085775965
21,10.3169139022
21.5,10.6346467407
22,10.8816492726
22.5,11.1374119573
23,11.4002526893
23.5,11.6350352988
24,11.8499911161
24.5,12.0960297381
25,12.3001895591
25.5,12.5069619481
26,12.7037551786
26.5,12.9141773112
27,13.1193594484
27.5,13.3396326584
28,13.5562142118
28.5,13.8265566377
29,14.0481065052
29.5,14.2629298052
30,14.4988013472
30.5,14.7094958215
31,14.9457733527
31.5,15.1860577114
32,15.3510080749
32.5,15.5491996178
33,15.7561271382
33.5,15.9186414261
34,16.1172688988
34.5,16.3109957196
35,16.4907964544
35.5,16.6718177333
36,16.9007032055
36.5,17.0720754428
37,17.264202976
37.5,17.4680103532
38,17.6894273227
38.5,17.8865883819
39,18.0730245903
39.5,18.2711130401
40,18.4570308679
40.5,18.6812993998
41,18.899301242
41.5,19.1140329623
42,19.2974339246
42.5,19.4481407196
43,19.6046131585
43.5,19.8007395826
44,20.0408088208
44.5,20.2320500855
45,20.4157548459
45.5,20.5772732589
46,20.7503959745
46.5,20.91751484
47,21.0845054889
47.5,21.2425930991
48,21.3917997758
48.5,21.5832932811
49,21.7615001848
49.5,21.9570973167
50,22.1248504602
50.5,22.2895918353
51,22.4236515417
51.5,22.5853221799
52,22.7309040633
52.5,22.8997031424
53,23.0524287895
53.5,23.212363032
54,23.369329333
54.5,23.5349555335
55,23.690358998
55.5,23.835552957
56,23.9952219411
56.5,24.1533971954
57,24.3071822659
57.5,24.4493316773
58,24.604506793
58.5,24.7553055782
59,24.8959345195
59.5,25.0524916771
60,25.1988861626
60.5,25.3220800573
61,25.4771500594
61.5,25.6191703549
62,25.7597380751
62.5,25.9973984644
63,26.1336221711
63.5,26.2959387839
64,26.4727615974
64.5,26.6206115453
65,26.7525305845
65.5,26.8685157603
66,26.9859640856
66.5,27.1077780901
67,27.219456393
67.5,27.3267987452
68,27.4588228644
68.5,27.5937757648
69,27.708436384
69.5,27.857965006
70,27.981393702
70.5,28.1208318227
71,28.2370613655
71.5,28.3591344756
72,28.4885115064
72.5,28.6019314915
73,28.7241125337
73.5,28.8710730027
74,28.975873254
74.5,29.0719677403
75,29.1637196695
75.5,29.267153224
76,29.3793653946
76.5,29.4828696387
77,29.5791166239
77.5,29.6987400921
78,29.8008972381
78.5,29.9089326684
79,30.0024033342
79.5,30.1178266122
80,30.2142956025
80.5,30.3298144423
81,30.4570939618
81.5,30.5595516025
82,30.6561953456
82.5,30.7616710485
83,30.8862543838
83.5,30.9757044824
84,31.0798649912
84.5,31.1870127321
85,31.2428099532
85.5,31.3191884681
86,31.4058833475
86.5,31.4984971396
87,31.5837989395
87.5,31.6764966256
88,31.7618768819
88.5,31.8369843956
89,31.9371746841
89.5,32.0153019037
90,32.0860875492
90.5,32.1731330508
91,32.263174074
91.5,32.350306905
92,32.4167935912
92.5,32.4729579645
93,32.5439289553
93.5,32.6282458747
94,32.7007629633
94.5,32.7585034374
95,32.8458932261
95.5,32.9511199395
96,33.0549326416
96.5,33.1469382871
97,33.2256314725
97.5,33.2939638593
98,33.3846258495
98.5,33.4649295103
99,33.5348586074
99.5,33.6375804573
100,33.7150417111
100.5,33.8029806695
101,33.8864980915
101.5,33.9655866532
102,34.0536810028
102.5,34.1403365922
103,34.2180741285
103.5,34.2883749541
